Ref, NombreActiv, Descripcion, Duracion, Costo, Ciudad, RefDepartamento, FechaAlta, Ref.Proveedor, Nickname, Estado, Video
A1, Degusta, Festival gastronómico de productos locales en Rocha,3,800, Rocha, Rocha, 20–7--2022, U11, washington, Confirmada, https://www.youtube.com/embed/zQjSMQ6uV1g
A2, Teatro con Sabores, En el mes aniversario del Club Deportivo Unión de Rocha te invitamos a una merienda deliciosa,3,500, Rocha, Rocha, 21–7--2022, U11, washington, Confirmada,https://www.youtube.com/embed/Lxit3xvKShc
A3, Tour por Colonia del Sacramento, Con guía especializado y en varios idiomas. Varios circuitos posibles,2,400, Colonia del Sacramento, Colonia, 1–8--2022, U13, meche, Confirmada,https://www.youtube.com/embed/zVDGjURCBz8
A4, Almuerzo en el Real de San Carlos, Restaurante en la renovada Plaza de Toros con menú internacional,2,800, Colonia del Sacramento, Colonia, 1–8--2022, U13, meche, Confirmada,https://www.youtube.com/embed/wfyDxicM1PQ
A5, Almuerzo en Valle del Lunarejo, Almuerzo en la Posada con ticket fijo. Menú que incluye bebida y postre casero.,2,300, Tranqueras, Rivera, 1–8--2022, U12, eldiez, Confirmada,https://www.youtube.com/embed/5uaEdiQVEEE
A6, Cabalgata en Valle del Lunarejo, Cabalgata por el área protegida. Varios recorridos para elegir.,2,150, Tranqueras, Rivera, 1–8--2022, U12, eldiez, Confirmada,https://www.youtube.com/embed/dlUb22YfXDg
A7, Bus turístico Colonia, Recorrida por los principales atractivos de la ciudad,3,600, Colonia del Sacramento, Colonia, 1–9--2022, U13, meche, Agregada,https://www.youtube.com/embed/FCFoe4ibkk8
A8, Colonia Premium Tour, Visita lugares exclusivos y relevantes,4,2600, Colonia del Sacramento, Colonia, 3–9--2022, U13, meche, Rechazada,
A9, Deportes náuticos sin uso de motor, kitsurf - windsurf - kayakismo - canotaje en Rocha,3,1200, Rocha, Rocha, 5–9--2022, U11, washington, Agregada,https://www.youtube.com/embed/a7Lfx4Flb28
A10, Descubre Rivera, Rivera es un departamento de extraordinaria riqueza natural patrimonial y cultural con una ubicación geográfica privilegiada,2,650, Rivera, Rivera, 16–9--2022, U12, eldiez, Rechazada,
